restaurant,name,category,calories,carbs,fat
A&W Restaurants,A&W® Diet Root Beer,drinks,0,0,0
A&W Restaurants,A&W® Diet Root Beer,drinks,0,0,0
A&W Restaurants,A&W® Diet Root Beer,drinks,0,0,0
A&W Restaurants,A&W® Diet Root Beer,drinks,0,0,0
A&W Restaurants,A&W® Diet Root Beer,drinks,0,0,0
A&W Restaurants,A&W® Diet Root Beer,drinks,0,0,0
A&W Restaurants,A&W® Diet Root Beer Float (large),shakes,350,60,10
A&W Restaurants,A&W® Diet Root Beer Float (medium),shakes,170,30,5
A&W Restaurants,A&W® Diet Root Beer Float (small),shakes,170,30,5
A&W Restaurants,A&W® Diet Root Beer Freeze (large),shakes,600,92,18
A&W Restaurants,A&W® Diet Root Beer Freeze (medium),shakes,340,53,10
A&W Restaurants,A&W® Diet Root Beer Freeze (small),shakes,260,39,8
A&W Restaurants,A&W® Root Beer,drinks,160,43,0
A&W Restaurants,A&W® Root Beer,drinks,220,58,0
A&W Restaurants,A&W® Root Beer,drinks,270,72,0
A&W Restaurants,A&W® Root Beer,drinks,440,116,0
A&W Restaurants,A&W® Root Beer,drinks,880,232,0
A&W Restaurants,A&W® Root Beer,drinks,1760,464,0
A&W Restaurants,A&W® Root Beer Float (large),shakes,640,136,10
A&W Restaurants,A&W® Root Beer Float (medium),shakes,350,77,5
A&W Restaurants,A&W® Root Beer Float (small),shakes,330,70,5
A&W Restaurants,A&W® Root Beer Freeze (large),shakes,820,150,18
A&W Restaurants,A&W® Root Beer Freeze (medium),shakes,480,89,10
A&W Restaurants,A&W® Root Beer Freeze (small),shakes,370,68,8
A&W Restaurants,Blue Raspberry Slushee,drinks,270,67,0
A&W Restaurants,Blue Raspberry Slushee,drinks,370,91,0
A&W Restaurants,Blue Raspberry Slushee,drinks,570,142,0
A&W Restaurants,Blue Raspberry Slushee,drinks,740,182,0
A&W Restaurants,Breaded Onion Rings (Large),sides,480,62,27
A&W Restaurants,Breaded Onion Rings (Regular),sides,350,45,16
A&W Restaurants,Caramel Sundae,desserts,340,57,9
A&W Restaurants,Cheese Curds (Large),sides,1140,54,80
A&W Restaurants,Cheese Curds (Regular),sides,570,27,40
A&W Restaurants,Cheese Dog,entrees,350,26,22
A&W Restaurants,Cheese Fries,french-fries,390,50,18
A&W Restaurants,Cheeseburger,burgers,420,37,21
A&W Restaurants,Cherry Limeade,drinks,190,51,0
A&W Restaurants,Cherry Limeade,drinks,300,79,0
A&W Restaurants,Cherry Limeade,drinks,340,90,0
A&W Restaurants,Cherry Limeade,drinks,530,138,0
A&W Restaurants,Cherry Slushee,drinks,330,83,0
A&W Restaurants,Cherry Slushee,drinks,450,112,0
A&W Restaurants,Cherry Slushee,drinks,570,141,0
A&W Restaurants,Cherry Slushee,drinks,900,224,0
A&W Restaurants,Chicken Strips- 3 pieces,chicken,500,32,29
A&W Restaurants,Chili,sides,190,22,6
A&W Restaurants,Chili Cheese Fries,french-fries,410,52,17
A&W Restaurants,Chili Fries,french-fries,370,49,15
A&W Restaurants,Chocolate Fudge Blendrrr,desserts,490,68,30
A&W Restaurants,Chocolate Fudge Blendrrr,desserts,560,92,32
A&W Restaurants,Chocolate Fudge Blendrrr,desserts,1010,152,59
A&W Restaurants,Chocolate Milkshake (medium),shakes,880,125,36
A&W Restaurants,Chocolate Milkshake (small),shakes,700,100,29
A&W Restaurants,Chocolate Sundae,desserts,320,53,8
A&W Restaurants,Coney (Chili) Cheese Dog,entrees,380,28,23
A&W Restaurants,Coney (Chili) Dog,entrees,340,26,20
A&W Restaurants,Corn Dog Nuggets® (Regular),sides,280,32,13
A&W Restaurants,Corn Dog Nuggets® (Small/ Kids),sides,180,20,8
A&W Restaurants,Crispy Chicken Sandwich,chicken,550,52,25
A&W Restaurants,Crunchy Shrimp,seafood,340,34,19
A&W Restaurants,Extra Burger Patty,sides,170,2,12
A&W Restaurants,French Fries (Large),french-fries,430,61,17
A&W Restaurants,French Fries (Regular),french-fries,310,45,12
A&W Restaurants,French Fries (Small/ Kids),french-fries,200,28,8
A&W Restaurants,Grilled Chicken Sandwich,chicken,400,31,15
A&W Restaurants,Hamburger,burgers,380,33,19
A&W Restaurants,Hot Dog (plain),entrees,310,23,19
A&W Restaurants,Hot Fudge Sundae,desserts,350,54,11
A&W Restaurants,Lemon Slushee,drinks,330,82,0
A&W Restaurants,Lemon Slushee,drinks,440,110,0
A&W Restaurants,Lemon Slushee,drinks,560,139,0
A&W Restaurants,Lemon Slushee,drinks,890,221,0
A&W Restaurants,Lime Slushee,drinks,280,69,0
A&W Restaurants,Lime Slushee,drinks,380,94,0
A&W Restaurants,Lime Slushee,drinks,480,119,0
A&W Restaurants,Lime Slushee,drinks,770,188,0
A&W Restaurants,Limeade,drinks,140,38,0
A&W Restaurants,Limeade,drinks,210,55,0
A&W Restaurants,Limeade,drinks,250,66,0
A&W Restaurants,Limeade,drinks,390,103,0
A&W Restaurants,M&M’s® Polar Swirl®,desserts,710,107,25
A&W Restaurants,Orange Float (large),shakes,610,137,9
A&W Restaurants,Orange Float (medium),shakes,340,81,4.5
A&W Restaurants,Orange Float (small),shakes,320,74,4.5
A&W Restaurants,Orange Freeze (medium),shakes,600,142,10
A&W Restaurants,Orange Freeze (medium),shakes,970,223,18
A&W Restaurants,Orange Freeze (small),shakes,450,108,8
A&W Restaurants,Oreo® Cookies & Cream Blendrrr,desserts,340,56,12
A&W Restaurants,Oreo® Cookies & Cream Blendrrr,desserts,430,72,15
A&W Restaurants,Oreo® Cookies & Cream Blendrrr,desserts,650,109,21
A&W Restaurants,Oreo® Polar Swirl®,desserts,690,107,24
A&W Restaurants,Original Bacon Cheeseburger,burgers,530,39,30
A&W Restaurants,Original Bacon Double Cheeseburger,burgers,760,45,45
A&W Restaurants,Original Double Cheeseburger,burgers,680,44,38
A&W Restaurants,Papa Burger®,burgers,690,44,39
A&W Restaurants,Papa Single Burger,burgers,470,38,25
A&W Restaurants,Pineapple Banana Smoothee,shakes,400,85,6
A&W Restaurants,Pineapple Banana Smoothee,shakes,480,104,6
A&W Restaurants,Pineapple Banana Smoothee,shakes,750,160,10
A&W Restaurants,Reese’s® Peanut Butter Fudge Blendrrr,desserts,700,103,41
A&W Restaurants,Reese’s® Peanut Butter Fudge Blendrrr,desserts,710,108,41
A&W Restaurants,Reese’s® Peanut Butter Fudge Blendrrr,desserts,1360,203,79
A&W Restaurants,Reese’s® Polar Swirl®,desserts,740,97,31
A&W Restaurants,Strawberry Banana Smoothee,shakes,390,78,6
A&W Restaurants,Strawberry Banana Smoothee,shakes,420,86,6
A&W Restaurants,Strawberry Banana Smoothee,shakes,680,137,10
A&W Restaurants,Strawberry Limeade,drinks,230,58,0
A&W Restaurants,Strawberry Limeade,drinks,290,75,0
A&W Restaurants,Strawberry Limeade,drinks,420,105,0
A&W Restaurants,Strawberry Limeade,drinks,560,143,0
A&W Restaurants,Strawberry Milkshake (medium),shakes,840,113,36
A&W Restaurants,Strawberry Milkshake (small),shakes,670,90,29
A&W Restaurants,Strawberry Smoothee,shakes,360,70,6
A&W Restaurants,Strawberry Smoothee,shakes,370,74,6
A&W Restaurants,Strawberry Smoothee,shakes,610,121,10
A&W Restaurants,Strawberry Sundae,desserts,300,47,8
A&W Restaurants,Vanilla Cone (large),desserts,260,41,7
A&W Restaurants,Vanilla Cone (regular),desserts,200,32,5
A&W Restaurants,Vanilla Milkshake (medium,shakes,900,121,39
A&W Restaurants,Vanilla Milkshake (small),shakes,720,97,31
A&W Restaurants,Watermelon Slushee,drinks,270,73,0
A&W Restaurants,Watermelon Slushee,drinks,360,99,0
A&W Restaurants,Watermelon Slushee,drinks,460,124,0
A&W Restaurants,Watermelon Slushee,drinks,720,197,0
Applebee's,Add Fried Shrimp,sides,390,35,21
Applebee's,Add Grilled Shrimp,sides,230,2,17
Applebee's,Appetizer Sampler,appetizers,2375,169,162
Applebee's,"Apple Walnut Chicken Salad, Half",salads,630,33,43
Applebee's,"Apple Walnut Chicken Salad, Half w/o dressing",salads,350,15,20
Applebee's,"Apple Walnut Chicken Salad, Regular",salads,1030,54,67
Applebee's,"Apple Walnut Chicken Salad, Regular w/o dressing",salads,470,18,22
Applebee's,Applebee’s House Salad,salads,180,12,15
Applebee's,Applebee’s House Salad (without dressing),salads,180,12,15
Applebee's,Applebee’s Limeades,drinks,130,59,0
Applebee's,Applebee’s Reuben,sandwiches,1140,49,81
Applebee's,Applebee’s Reuben,sandwiches,630,25,47
Applebee's,Applebee’s Riblets Basket,ribs,1115,92,55
Applebee's,Applebee’s Riblets Platter,ribs,1705,134,86
Applebee's,Asiago Peppercorn Steak,entrees,380,25,14
Applebee's,Asiago Peppercorn Steak w/sides,entrees,380,25,14
Applebee's,Bacon Cheddar Cheeseburger,burgers,970,51,60
Applebee's,Bacon Cheese Chicken Grill,sandwiches,750,50,33
Applebee's,Baked Potato,sides,430,42,28
Applebee's,Baked Potato Soup,soups,420,27,32
Applebee's,Baked Potato Soup,soups,360,20,28
Applebee's,BBQ Pulled Pork Sliders,burgers,1030,90,48
Applebee's,Black Bean Soup,soups,190,21,9
Applebee's,Blackened Tilapia Sandwich,sandwiches,740,54,42
Applebee's,Blue Ribbon Brownie,desserts,1310,176,63
Applebee's,"Boneless Wings, Classic Buffalo",appetizers,1160,66,69
Applebee's,"Boneless Wings, Honey BBQ",appetizers,1250,16,55
Applebee's,"Boneless Wings, Hot Buffalo",appetizers,1170,67,69
Applebee's,"Boneless Wings, Southern BBQ",appetizers,1110,83,55
Applebee's,"Boneless Wings, Sweet & spicy sauce",appetizers,1150,90,55
Applebee's,Bourbon Street Chicken & Shrimp,entrees,750,31,45
Applebee's,Bourbon Street Steak,entrees,760,35,44
Applebee's,Breadstick,sides,290,22,19
Applebee's,Broccoli Cheddar Soup,soups,340,19,26
Applebee's,Broccoli Cheddar Soup,soups,280,12,23
Applebee's,Brownie Bite,desserts,360,49,17
Applebee's,Bruschetta Chicken,chicken,850,56,42
Applebee's,"Bruschetta Chicken Salad, Half",salads,740,45,44
Applebee's,"Bruschetta Chicken Salad, Half w/o dressing",salads,580,40,30
Applebee's,"Bruschetta Chicken Salad, Regular",salads,1110,67,66
Applebee's,"Bruschetta Chicken Salad, Regular w/o dressing",salads,790,56,36
Applebee's,Caesar Salad,salads,220,8,19
Applebee's,Cajun Shrimp Pasta,entrees,1170,95,69
Applebee's,"California Shrimp Salad, Half",salads,500,16,42
Applebee's,"California Shrimp Salad, Half w/o dressing",salads,330,14,23
Applebee's,"California Shrimp Salad, Regular",salads,740,21,61
Applebee's,"California Shrimp Salad, Regular w/o dressing",salads,380,16,24
Applebee's,California Turkey Club,sandwiches,970,60,55
Applebee's,Cheese Quesadilla Grande,appetizers,1130,85,87
Applebee's,Cheeseburger,burgers,940,52,58
Applebee's,Cheeseburger Sliders,burgers,1270,82,82
Applebee's,Cheeseburger Sliders add bacon,burgers,1330,83,87
Applebee's,Cheeseburger Sliders with Applewood Smoked Bacon,burgers,1330,83,87
Applebee's,Cheesy Corn,sides,350,28,20
Applebee's,Chicken Broccoli Pasta Alfredo,entrees,1350,111,72
Applebee's,Chicken Caesar Salad,salads,310,8,20
Applebee's,Chicken Fajita Rollup,sandwiches,850,63,62
Applebee's,Chicken Fajita Rollup,sandwiches,560,45,41
Applebee's,Chicken Fettuccine Carbonara,entrees,1440,107,82
Applebee's,Chicken Fried Chicken,chicken,1230,112,59
Applebee's,"Chicken Fried Steak (includes mashed potato, gravy & vegetable)",entrees,1260,118,61
Applebee's,Chicken Noodle Soup,soups,160,17,4
Applebee's,Chicken Noodle Soup,soups,110,11,3
Applebee's,Chicken Parmesan Stack,chicken,1690,130,95
Applebee's,Chicken Quesadilla Grande,appetizers,1290,90,90
Applebee's,Chicken Tenders Basket,chicken,102,85,60
Applebee's,Chicken Tenders Platter,chicken,1320,107,78
Applebee's,Chicken Tortilla Soup,soups,180,18,8
Applebee's,Chicken Tortilla Soup,soups,140,12,7
Applebee's,Chili,soups,310,10,26
Applebee's,Chili,soups,370,16,28
Applebee's,"Chili Cheese Fries, Side",french-fries,550,59,33
Applebee's,Chili Cheese Nachos,appetizers,1680,134,107
Applebee's,Chips and Spicy Chipotle Lime Salsa,appetizers,960,106,53
Applebee's,Chocolate Chip Cookie Sundae,desserts,154,210,74
Applebee's,Chocolate Mousse Shooter,desserts,450,42,31
Applebee's,Clam Chowder,soups,350,22,24
Applebee's,Clam Chowder,soups,290,16,20
Applebee's,Classic Club House Grill,sandwiches,1150,77,67
Applebee's,"Classic Wings, Classic Buffalo",appetizers,710,8,49
Applebee's,"Classic Wings, Honey BBQ",appetizers,790,59,35
Applebee's,"Classic Wings, Hot Buffalo",appetizers,720,9,49
Applebee's,"Classic Wings, Southern BBQ",appetizers,660,25,35
Applebee's,"Classic Wings, Sweet & spicy sauce",appetizers,690,32,35
Applebee's,Cole Slaw,sides,140,15,9
Applebee's,Cowboy Burger,burgers,1180,77,70
Applebee's,Crispy Orange Chicken,chicken,1520,208,53
Applebee's,Crunchy Onion Rings,appetizers,1290,181,56
Applebee's,"Crunchy Onion Rings, Side",sides,530,63,28
Applebee's,Decadent Shakes,shakes,915,109,46
Applebee's,Double Crunch Shrimp,seafood,1280,133,69
Applebee's,Double-Glazed Baby Back Ribs,ribs,1345,95,72
Applebee's,Double-Glazed Baby Back Ribs – Half Rack,ribs,935,88,49
Applebee's,Fiesta Lime Chicken®,chicken,1160,94,67
Applebee's,Fire Pit Bacon Burger,burgers,1100,53,73
Applebee's,Florentine Ravioli with Chicken,entrees,1300,77,82
Applebee's,French Dip Sliders,burgers,840,75,49
Applebee's,French Dip Sliders,burgers,590,50,36
Applebee's,French Onion Soup,soups,260,16,14
Applebee's,"Fresh Fruit, Side",sides,90,24,0
Applebee's,Fried Chicken Salad,salads,380,20,27
Applebee's,"Fried Chicken Salad, Half",salads,530,26,42
Applebee's,"Fried Chicken Salad, Half w/o dressing",salads,310,12,23
Applebee's,"Fried Chicken Salad, Regular",salads,980,50,79
Applebee's,"Fried Chicken Salad, Regular w/o dressing",salads,540,23,42
Applebee's,Fried Red Potatoes,sides,150,22,5
Applebee's,"Fries, Side",french-fries,390,53,18
